,simbolo,tipo,sub_tipo,descricao,dividend_yield,patrimonio_liquido,liquidez_diaria_media,ultimo_rendimento,valor_patrimonial,rentabilidade_mes,p_vp,cotas_emitidas,numero_cotistas,min_semanas,max_semanas,valorizacao
350,VSHO11,Tijolo,Shoppings,,10.84,212500000.0,"64,8K",0.84,101.23,0.54,,2098800,3768,61.45,85.0,27.48
351,VSLH11,Papel,Papéis,,11.76,314900000.0,"268,4K",0.4,10.54,-0.48,,29864091,88373,2.97,8.92,53.25
352,VTLT11,Tijolo,Imóveis Industriais e Logísticos,,11.09,214000000.0,"118,0K",0.94,101.16,-0.51,,2115000,6106,86.08,99.98,2.0
353,VVCR11,Sem categoria,Papéis,,15.06,41200000.0,"114,6K",0.94,22.28,0.05,,1849829,2880,18.72,29.46,29.08
354,VVPR11,Tijolo,Misto,,0.88,226000000.0,"1,2M",1.04,98.03,2.01,,2305771,1372,101.5,101.5,0.43
355,VVRI11,Fundo Misto,Indefinido,,12.35,38100000.0,"255,9K",1.03,95.32,3.43,,400000,118,93.51,101.0,0.75
356,WHGR11,Fundo Misto,Indefinido,,12.46,250300000.0,"816,7K",0.98,9.97,2.07,,25089531,12596,8.19,9.88,16.78
357,WPLZ11,Tijolo,Shoppings,,7.77,92600000.0,"4,4K",0.77,87.03,-0.95,,1064549,1869,58.6,80.84,13.25
358,WSEC11,Sem categoria,Indefinido,,17.34,24800000.0,"14,6K",0.83,101.02,0.33,,245651,467,83.03,95.97,11.59
359,WTSP11B,Fundo Misto,Misto,,8.68,72200000.0,"3,9K",0.5,72.72,-2.19,,992565,201,30.0,43.0,10.0
360,XPCA11,Fiagro,Indefinido,,15.76,432300000.0,"2,0M",0.98,9.5,1.63,,45523076,90057,8.72,9.95,1.27
361,XPCI11,Papel,Papéis,,12.56,812100000.0,"1,8M",0.94,93.32,1.45,,8701551,77328,76.42,89.25,5.72
362,XPCM11,Tijolo,Lajes Corporativas,,9.43,98700000.0,"35,7K",0.25,40.88,0.49,,2414570,23938,10.07,18.27,38.67
363,XPHT11,Tijolo,Hotéis,,23.68,396200000.0,"230,9K",1.01,42.97,-0.56,,9218512,684,99.11,125.99,9.66
364,XPIN11,Tijolo,Imóveis Industriais e Logísticos,,9.69,734100000.0,"1,3M",0.78,102.66,1.46,,7150422,47837,67.71,86.84,13.24
365,XPLG11,Tijolo,Imóveis Industriais e Logísticos,,8.35,3300000000.0,"9,4M",1.0,110.14,1.07,,29613233,314755,90.01,115.53,13.66
366,XPML11,Tijolo,Shoppings,,8.68,3400000000.0,"15,1M",1.03,111.91,-1.96,,30822213,396609,94.55,120.66,21.73
367,XPPR11,Fundo Misto,Lajes Corporativas,,6.31,508300000.0,"426,4K",0.32,69.48,-0.67,,7316171,55515,18.01,34.42,35.62
368,XPSF11,Papel,Fundo de Fundos,,10.9,366900000.0,"643,4K",0.98,8.47,1.09,,43302140,59102,6.67,8.75,15.86
369,YUFI11,Fundo Misto,Fundo de Desenvolvimento,,2.89,50500000.0,351,0.86,102.44,-0.01,,492650,60,63.01,105.0,7.57
370,ZAVI11,Outros,Indefinido,,10.49,158400000.0,"328,0K",0.96,134.97,1.76,,1173322,4790,120.0,136.0,4.98
371,ZIFI11,Fundo Misto,Fundo de Desenvolvimento,,0.33,57100000.0,"45,3K",0.71,1201.62,-5.67,,47485,67,760.0,1139.99,15.1
